Depth_mean,Depth_min,Depth_max,Qf,valid,slope,phasedetect,Lat,Lon,Sog,Cog,Roll,Pitch,Heave,Head
-122.79,-121.99,-124.15,2.930802654027939,100.0,0.32,87.0,46.13157885,-3.2713209,6.686825059772635,157.47,0.15,-0.22,0.14,157.58
-122.92,-122.0,-124.15,2.9099183082580566,100.0,0.3,86.5,46.13152365,-3.2712886,6.647948169890236,157.71,-1.35,-0.53,-0.03,157.95
-123.23,-122.53,-124.31,2.9200365698337554,100.0,0.21,86.0,46.13146745,-3.2712511,6.647948169890236,157.49,-1.5,-0.21,-0.22,158.21
-123.42,-122.61,-125.49,2.911497949361801,100.0,0.26,89.0,46.1314092,-3.2712124,6.667386614831435,157.15,-0.85,0.44,-0.33,158.47
-123.27,-122.36,-124.81,2.9412452560663223,100.0,0.3,86.5,46.13135095,-3.2711773,6.686825059772635,157.08,-0.02,0.22,-0.23,158.25
-123.36,-122.39,-124.65,2.9401003170013427,100.0,0.33,88.0,46.13132265,-3.2711599,6.706263504713834,157.12,-0.03,-0.08,-0.3,158.12
-123.34,-122.38,-125.08,2.944473240375519,100.0,0.46,88.0,46.1312663,-3.2711228,6.686825059772635,157.02,-0.07,-0.05,-0.26,158.26
-123.09,-122.31,-124.57,2.91502157330513,100.0,0.24,87.0,46.1312093,-3.2710859,6.686825059772635,156.81,0.22,0.19,0.05,158.48
-122.88,-122.16,-124.15,2.929769057035446,100.0,0.23,87.5,46.13112295,-3.2710365,6.706263504713834,156.94,0.51,0.26,0.21,158.48
-122.78,-122.04,-124.61,2.9204237228631973,100.0,0.31,89.0,46.1310946,-3.2710204,6.706263504713834,157.07,0.02,0.19,0.21,158.38
-122.77,-121.88,-124.36,2.9018912291526795,100.0,0.27,87.5,46.13106645,-3.2710045,6.686825059772635,157.16,-0.52,-0.07,0.25,158.27
-122.63,-121.88,-124.07,2.917702736854553,100.0,0.38,88.0,46.13101015,-3.2709732,6.667386614831435,157.33,-0.61,-0.26,0.33,158.35
-122.74,-122.2,-123.88,2.9215552055835725,100.0,0.25,88.0,46.1309523,-3.2709419,6.667386614831435,157.59,-0.66,-0.11,0.04,158.83
-123.29,-122.5,-124.7,2.9208074551820755,100.0,0.34,88.5,46.13086555,-3.2708872,6.686825059772635,157.57,-0.61,0.34,-0.43,158.93
-123.34,-122.69,-124.78,2.9355262780189513,98.5,0.2,86.5,46.1308369,-3.2708689,6.686825059772635,157.44,-0.35,0.2,-0.2,158.88
-122.98,-122.46,-124.06,2.915649137496948,100.0,0.2,87.0,46.13077965,-3.2708348,6.686825059772635,157.35,-0.0,0.09,-0.05,158.78
-123.1,-122.4,-124.17,2.9399225759506225,100.0,0.22,87.5,46.13075115,-3.2708185,6.686825059772635,157.4,0.42,0.21,-0.19,158.76
-123.07,-122.28,-124.11,2.9275254124403,100.0,0.24,88.0,46.13069435,-3.2707863,6.686825059772635,157.56,-0.1,-0.45,-0.07,159.06
-123.07,-121.81,-124.13,2.915015057325363,100.0,0.26,87.0,46.13063735,-3.2707497,6.686825059772635,157.53,-1.11,-0.22,-0.22,159.62
-123.38,-122.85,-124.33,2.918683421611786,100.0,0.12,87.0,46.1305785,-3.2707095,6.706263504713834,157.18,-1.11,0.37,-0.38,159.71
-123.26,-122.48,-124.56,2.9430280601978303,100.0,0.3,88.5,46.13051955,-3.2706752,6.745140394596233,157.01,-0.03,0.94,-0.12,159.33
-122.5,-121.84,-124.19,2.913894711732864,100.0,0.32,87.0,46.13049095,-3.2706619,6.745140394596233,157.17,0.97,-0.0,0.56,158.67
-122.28,-121.54,-124.35,2.9230835109949114,100.0,0.28,86.5,46.1304349,-3.2706362,6.706263504713834,157.84,0.03,-0.54,0.5,159.02
-122.62,-121.76,-124.04,2.9211195695400236,100.0,0.24,88.5,46.1303783,-3.2706051,6.667386614831435,158.14,-0.9,0.04,0.17,159.68
-122.72,-121.81,-124.37,2.914045373797417,100.0,0.27,87.5,46.13031955,-3.2705726,6.667386614831435,158.21,-0.87,0.21,0.11,159.74
-123.07,-122.28,-123.97,2.93048303604126,100.0,0.24,89.0,46.13026105,-3.270541,6.686825059772635,158.36,-0.49,0.31,-0.27,159.45
-123.29,-122.52,-124.87,2.9315598928928375,100.0,0.19,87.0,46.1302326,-3.2705242,6.686825059772635,158.42,-0.58,-0.06,-0.43,159.35
